regime,days,return,sharpe,win_rate
bull,352,3.078161244308185,2.6613734322592517,0.5340909090909091
bear,134,-0.3568629635325449,-2.4944645226916493,0.3283582089552239
sideways,245,-0.6631309134122545,-2.8051523327349654,0.4489795918367347
