lookback,CAGR,Sharpe,Max Drawdown,Trades
60,0.18490090042380447,0.6294293364090348,-0.3151839655119093,20.0
90,0.6376939915380633,1.133922405798524,-0.2757274056215402,12.5
120,0.7359296861102538,1.2362087544338372,-0.27572740562153997,8.5
150,0.9040120763501203,1.4018471298946031,-0.2682561469794599,11.5
