regime,days,return,sharpe,win_rate
bull,352,5.813132333562918,2.5705618433011064,0.5170454545454546
sideways,245,-0.2988675746381436,-0.12257795109658914,0.5061224489795918
bear,134,-0.44082674616594175,-1.6082340588020816,0.4626865671641791
